"Seade","Mõõtmise aeg","elektrijuhtivus","hägusus","hapnik","pH","Laekumise aeg"
"Muuli VKM","01.06.2023 00:00","","12.68 NTU","9.36 mg/L","7.46","01.06.2023 00:02"
"Muuli VKM","31.05.2023 23:55","","12.67 NTU","9.35 mg/L","7.45","31.05.2023 23:57"
"Muuli VKM","31.05.2023 23:50","","1.53 NTU","9.33 mg/L","7.45","31.05.2023 23:52"
"Muuli VKM","31.05.2023 23:45","","1.55 NTU","9.34 mg/L","7.45","31.05.2023 23:47"
"Muuli VKM","31.05.2023 23:40","","1.42 NTU","9.34 mg/L","7.45","31.05.2023 23:42"
"Muuli VKM","31.05.2023 23:35","","1.43 NTU","9.34 mg/L","7.45","31.05.2023 23:37"
"Muuli VKM","31.05.2023 23:30","","1.64 NTU","9.31 mg/L","7.45","31.05.2023 23:32"
"Muuli VKM","31.05.2023 23:25","","1.67 NTU","9.32 mg/L","7.44","31.05.2023 23:27"
"Muuli VKM","31.05.2023 23:20","","1.64 NTU","9.31 mg/L","7.45","31.05.2023 23:22"
"Muuli VKM","31.05.2023 23:15","","1.7 NTU","9.31 mg/L","7.45","31.05.2023 23:17"
"Muuli VKM","31.05.2023 23:10","","1.68 NTU","9.29 mg/L","7.45","31.05.2023 23:12"
"Muuli VKM","31.05.2023 23:05","","1.52 NTU","9.3 mg/L","7.45","31.05.2023 23:07"
"Muuli VKM","31.05.2023 23:00","","1.59 NTU","9.28 mg/L","7.45","31.05.2023 23:02"
"Muuli VKM","31.05.2023 22:55","","1.45 NTU","9.3 mg/L","7.45","31.05.2023 22:57"
"Muuli VKM","31.05.2023 22:50","","1.28 NTU","9.29 mg/L","7.45","31.05.2023 22:52"
"Muuli VKM","31.05.2023 22:45","","1.18 NTU","9.26 mg/L","7.45","31.05.2023 22:47"
"Muuli VKM","31.05.2023 22:40","","1.03 NTU","9.24 mg/L","7.45","31.05.2023 22:42"
"Muuli VKM","31.05.2023 22:35","","0.83 NTU","9.25 mg/L","7.45","31.05.2023 22:37"
"Muuli VKM","31.05.2023 22:30","","0.91 NTU","9.25 mg/L","7.45","31.05.2023 22:32"
"Muuli VKM","31.05.2023 22:25","","0.92 NTU","9.26 mg/L","7.45","31.05.2023 22:27"
"Muuli VKM","31.05.2023 22:20","","0.95 NTU","9.22 mg/L","7.45","31.05.2023 22:22"
"Muuli VKM","31.05.2023 22:15","","1 NTU","9.23 mg/L","7.45","31.05.2023 22:22"
"Muuli VKM","31.05.2023 22:10","","1.07 NTU","9.22 mg/L","7.45","31.05.2023 22:12"
"Muuli VKM","31.05.2023 22:05","","1.18 NTU","9.25 mg/L","7.45","31.05.2023 22:07"
"Muuli VKM","31.05.2023 22:00","","1.29 NTU","9.22 mg/L","7.45","31.05.2023 22:02"
"Muuli VKM","31.05.2023 21:55","","1.35 NTU","9.23 mg/L","7.45","31.05.2023 21:57"
"Muuli VKM","31.05.2023 21:50","","1.5 NTU","9.18 mg/L","7.45","31.05.2023 21:52"
"Muuli VKM","31.05.2023 21:45","","1.58 NTU","9.18 mg/L","7.45","31.05.2023 21:47"
"Muuli VKM","31.05.2023 21:40","","1.6 NTU","9.17 mg/L","7.45","31.05.2023 21:42"
"Muuli VKM","31.05.2023 21:35","","1.61 NTU","9.19 mg/L","7.45","31.05.2023 21:37"
"Muuli VKM","31.05.2023 21:30","","1.67 NTU","9.2 mg/L","7.45","31.05.2023 21:32"
"Muuli VKM","31.05.2023 21:25","","1.65 NTU","9.2 mg/L","7.45","31.05.2023 21:27"
"Muuli VKM","31.05.2023 21:20","","1.7 NTU","9.17 mg/L","7.45","31.05.2023 21:22"
"Muuli VKM","31.05.2023 21:15","","1.74 NTU","9.17 mg/L","7.45","31.05.2023 21:17"
"Muuli VKM","31.05.2023 21:10","","1.86 NTU","9.16 mg/L","7.45","31.05.2023 21:12"
"Muuli VKM","31.05.2023 21:05","","1.91 NTU","9.17 mg/L","7.45","31.05.2023 21:07"
"Muuli VKM","31.05.2023 21:00","","1.77 NTU","9.14 mg/L","7.45","31.05.2023 21:02"
"Muuli VKM","31.05.2023 20:55","","1.61 NTU","9.16 mg/L","7.45","31.05.2023 20:57"
"Muuli VKM","31.05.2023 20:50","","1.42 NTU","9.15 mg/L","7.45","31.05.2023 20:52"
"Muuli VKM","31.05.2023 20:45","","1.2 NTU","9.15 mg/L","7.45","31.05.2023 20:47"
"Muuli VKM","31.05.2023 20:40","","1.02 NTU","9.16 mg/L","7.45","31.05.2023 20:42"
"Muuli VKM","31.05.2023 20:35","","1.15 NTU","9.13 mg/L","7.45","31.05.2023 20:37"
"Muuli VKM","31.05.2023 20:30","","1.18 NTU","9.16 mg/L","7.45","31.05.2023 20:32"
"Muuli VKM","31.05.2023 20:25","","1.28 NTU","9.14 mg/L","7.45","31.05.2023 20:27"
"Muuli VKM","31.05.2023 20:20","","1.35 NTU","9.13 mg/L","7.46","31.05.2023 20:22"
"Muuli VKM","31.05.2023 20:15","","1.4 NTU","9.13 mg/L","7.46","31.05.2023 20:17"
"Muuli VKM","31.05.2023 20:10","","1.38 NTU","9.11 mg/L","7.46","31.05.2023 20:12"
